date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:08	313398/313398	---M-Z	200	added ('OK')	image/svg+xml	etag:%224c836-5c6fce7b-972e98069039e5e7;gz%22	https://vivaco.com/demo/startuply/assets/fonts/fontawesome-webfont.svg?v=4.1.0	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/fonts/fontawesome-webfont862f.svg	(from https://vivaco.com/demo/startuply/assets/css/lib/font-awesome.min.css)
13:37:09	5553/5553	---M-Z	200	added ('OK')	text/css	etag:%2215b1-5c6fd048-79cd06d8cb784433;gz%22	https://vivaco.com/demo/startuply/assets/css/lib/toastr.min.css	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/css/lib/toastr.min.css	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:09	99961/99961	---M-Z	200	added ('OK')	text/css	etag:%2218679-5c6fd048-1066a4576e5be7cf;gz%22	https://vivaco.com/demo/startuply/assets/css/lib/bootstrap.min.css	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/css/lib/bootstrap.min.css	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:09	1682/1682	---M--	200	added ('OK')	image/png	etag:%22692-5c6fd061-d7dc7032d4d8ca96;;;%22	https://vivaco.com/demo/startuply/assets/img/icon/quotes-a.png	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/icon/quotes-a.png	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:10	1685/1685	---M--	200	added ('OK')	image/png	etag:%22695-5c6fd061-43d665ca81f81f9b;;;%22	https://vivaco.com/demo/startuply/assets/img/icon/quotes-b.png	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/icon/quotes-b.png	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:10	2592/2592	---M--	200	added ('OK')	image/png	etag:%22a20-5c6fce7f-ae8a6218b78c2853;;;%22	https://vivaco.com/demo/startuply/assets/img//magnify-cur.png	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/magnify-cur.png	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:11	1803/1803	---M--	200	added ('OK')	image/png	etag:%2270b-5c6fd062-d1b64eca361802c3;;;%22	https://vivaco.com/demo/startuply/assets/img/icon/yt_play_big_56x82.png	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/icon/yt_play_big_56x82.png	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:11	726805/726805	---M--	200	added ('OK')	image/jpeg	etag:%22b1715-5c6fd053-333064cbec34d0e4;;;%22	https://vivaco.com/demo/startuply/assets/img/background/low_poly_background.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/background/low_poly_background.jpg	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:11	150044/150044	---M--	200	added ('OK')	image/jpeg	etag:%2224a1c-5c6fd06b-94d3b5fdf1a6aef7;;;%22	https://vivaco.com/demo/startuply/assets/img/products/product-no-img-800x560.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/products/product-no-img-800x560.jpg	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:11	1703/1703	---M--	200	added ('OK')	image/png	etag:%226a7-5c6fd061-24e7a5b7159adbb;;;%22	https://vivaco.com/demo/startuply/assets/img/icon/yt_controls_40x40.png	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/icon/yt_controls_40x40.png	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:11	3366/3366	---M--	200	added ('OK')	image/png	etag:%22d26-5c6fce7f-9f9fac9a5492011e;;;%22	https://vivaco.com/demo/startuply/assets/img/logo.png	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/logo.png	(from https://vivaco.com/demo/startuply/assets/css/style.css)
13:37:12	3508/3508	---M--	200	added ('OK')	image/png	etag:%22db4-5c6fce7f-f29da23d555d5fe9;;;%22	https://vivaco.com/demo/startuply/assets/img/logo-inverted.png	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/logo-inverted.png	(from https://vivaco.com/demo/startuply/assets/css/style.css)
